GCJ02long,GCJ02lat,type
116.3090153,39.95543916,1
116.3392838,39.9186616,4
115.9519335,39.60096749,3
116.366967,39.86975084,3
116.2288198,39.90497861,3
116.5046478,39.57806344,1
116.462186,39.93384768,0
116.380853,39.95020661,0
116.2068637,40.24133155,4
116.614025,40.04645415,0
116.0271323,39.88775143,1
116.3281512,39.77292808,0
115.9982884,39.6548884,3
116.2704064,39.93085081,3
116.4711995,39.9994609,1
116.4875061,39.58573601,0
116.4641542,39.99711877,1
116.5061151,40.00438497,1
116.4854267,39.91418424,1
115.9457526,39.72720861,2
116.2037634,39.66192507,3
116.2296055,40.1992809,4
116.3349828,39.76511536,0
116.1735358,40.04953459,4
116.3452979,39.77861425,3
116.1647576,39.59279747,1
116.5049798,40.0070355,4
116.4065509,39.94901354,3
116.2904303,40.1064428,4
116.4121181,39.86922686,0
115.7822455,39.52703949,0
116.2530618,39.90355354,1
116.378997,39.8440195,2
116.2935476,39.82499241,2
116.4240837,39.9853989,2
116.0969014,39.90961276,3
116.107265,39.76769461,3
116.0356593,39.77287721,3
116.3887152,39.96839991,4
116.2953414,39.69723835,1
116.7486083,39.78527804,2
116.3098891,39.93276274,0
116.5526873,39.763982,3
116.4139738,40.05939805,1
116.4608809,39.91940298,3
116.1516035,40.55920766,1
116.3418973,39.93855237,1
116.4591224,39.90837831,0
116.7820109,39.75312917,4
116.4230274,39.83457555,3
116.2549675,39.94695424,2
115.9007891,39.82893259,1
116.8901065,39.80773904,0
116.5124176,39.85573145,2
116.0460664,39.75649506,1
116.3651531,39.99148726,2
116.5538688,39.92400595,2
115.9921439,39.78606244,4
116.4471377,39.83305523,2
116.0759551,39.70614887,4
116.1503701,39.7883168,0
116.5312596,40.03889825,0
116.3230029,40.07767792,3
116.541507,40.0709262,0
116.6355942,40.32290644,3
116.2833887,39.85609253,4
116.2128946,40.11378638,4
116.4352127,40.03232061,4
116.3658914,39.99849369,3
116.4500737,39.89371848,1
116.2507113,39.84981311,3
116.4044987,39.94911225,1
117.2486371,40.20625744,1
116.8610616,40.37850472,1
116.3026555,39.89186726,4
116.1294083,39.81788249,3
116.6383572,40.0749731,3
116.0682888,39.6615637,0
116.2918758,40.14988056,3
116.182678,40.04352711,0
116.9797668,40.14003996,0
116.2903651,39.81666778,0
116.1444309,39.88756825,3
116.2721742,39.94677449,0
116.616751,40.05073578,2
116.3166065,40.01772593,2
116.1895407,39.85304184,3
116.3980297,40.19170228,3
116.3258588,39.93896181,0
116.6332969,39.61581623,2
116.3084526,40.04638021,1
116.4368415,39.98888168,2
116.303384,39.86894226,3
116.3444561,39.93859119,0
116.3560522,39.92962784,0
116.88625,40.39206154,3
116.4119161,39.90815576,3
116.3427237,40.09282846,0
116.2177027,40.21984736,1
116.4930431,40.00636905,3
116.2683594,39.88950795,4
116.46146,39.94162761,1
116.3955216,39.88198898,1
116.0681966,39.67692118,3
116.2970828,40.20808086,2
116.3483919,39.71587989,4
116.140567,39.89915615,2
116.1755871,39.89334196,2
116.3099349,39.85815434,3
116.3287418,39.79100685,4
116.5884245,40.06722773,4
116.197977,39.92436027,2
116.2908631,39.92421919,4
116.2948096,39.88264445,2
116.3805689,39.8578951,4
116.0504088,39.98792281,0
116.2386024,39.85694342,0
116.3660283,39.86958641,0
116.4503344,39.92712447,0
116.374295,39.88261081,1
115.8647652,39.56158528,4
116.3807556,39.97206536,0
116.4203957,39.96115315,3
116.1096749,39.73985421,4
116.4583005,39.96235027,3
116.4372817,39.87070704,2
116.5781162,40.04153649,4
116.2894401,39.8346579,3
116.4349203,39.90856573,2
116.3445651,39.84933018,3
116.6200359,39.63054486,4
116.2720619,40.03340909,4
116.4650381,39.8910423,0
116.3136436,40.05154737,1
116.3035499,39.85793692,1
116.4609698,39.87361565,0
116.1039492,39.88853316,4
116.1151103,39.96043991,2
116.3257929,40.07631607,3
116.26423,40.0382056,4
116.4637999,39.87619443,2
116.4106116,39.94934259,3
116.461432,39.92474899,1
116.1577535,39.93282408,3
116.0941296,39.99831118,0
116.4664638,39.54080464,1
116.352983,39.9235752,1
116.3401317,39.87856339,1
116.5571416,39.72684656,1
116.1661025,39.92228583,0
116.477863,39.91082995,4
116.926295,40.27889762,3
116.5620914,39.94095061,3
116.0444401,39.6369922,3
116.4471056,39.93380938,2
116.361523,39.84837311,0
116.4677131,39.88437763,0
116.5570919,39.90891772,4
116.3451902,39.75860006,1
116.6097609,39.83225353,4
116.4241181,39.98851501,0
116.0629071,39.68262305,0
116.0731512,39.6168342,0
116.069703,39.74889342,3
116.3315847,39.98580155,4
116.1096195,39.76054951,4
116.2200735,39.75350054,3
116.4902377,39.91988169,2
116.1760828,39.81498343,3
116.2994121,40.09233586,3
116.3058777,39.83798442,1
116.9115709,40.55043606,2
