,Unnamed: 0,Unnamed: 1,location,count,mean,lnglat,logcount,absmean
98,98,98,天津,560,-0.1357142857142857,"117.20426333779129,39.13802795013817",50.623494269833564,0.18418367346938774
99,99,99,天津塘沽,10,0.3,"117.64250790193677,39.00215154652222",18.420680743952367,0.8999999999999999
100,100,100,奥地利,1,1.0,"120.19685565796193,35.948341410231095",0.0,10.0
101,101,101,孟加拉,1,-1.0,"0,0",0.0,10.0
102,102,102,宁夏,24,0.625,"106.25899966184596,38.47120006656507",25.42443064278357,3.90625
103,103,103,宁夏中卫,8,-0.25,"106.25899966184596,38.47120006656507",16.635532333438686,0.625
104,104,104,宁夏吴忠,9,0.7777777777777778,"106.19900012673706,37.99740026361034",17.577796618689757,6.049382716049383
105,105,105,宁夏固原,10,0.5,"106.25899966184596,38.47120006656507",18.420680743952367,2.5
106,106,106,宁夏石嘴山,3,0.0,"106.38400032124622,38.98399985425316",8.788898309344878,0.0
107,107,107,宁夏银川,45,-0.2,"106.23200003909884,38.48649995759617",30.45329991816256,0.4000000000000001
108,108,108,安徽,54,-0.14814814814814814,"117.32400008939373,31.7283992095993",31.9118723725142,0.2194787379972565
109,109,109,安徽亳州,9,0.2222222222222222,"115.77799970929472,33.84450068314206",17.577796618689757,0.49382716049382713
110,110,110,安徽六安,27,0.7037037037037037,"116.52000031582462,31.735100019283696",26.366694928034633,4.9519890260631
111,111,111,安徽合肥,276,-0.06884057971014493,"117.2269996717286,31.82030057746136",44.9632069257372,0.04739025414828817
112,112,112,安徽安庆,51,0.19607843137254904,"117.05699966479496,30.525300132793888",31.45460506179461,0.3844675124951943
113,113,113,安徽宣城,30,0.0,"117.32400008939373,31.7283992095993",27.209579053297247,0.0
114,114,114,安徽宿州,38,0.05263157894736842,"116.96400018526306,33.64619931087037",29.100689277811085,0.027700831024930744
115,115,115,安徽池州,23,0.08695652173913042,"117.49200050440915,30.664599054295987",25.0839537274332,0.07561436672967861
116,116,116,安徽淮北,36,-0.3333333333333333,"116.79799998273428,33.955800701574084",28.66815150764888,1.1111111111111112
117,117,117,安徽淮南,40,-0.125,"116.99999973086939,32.625500031577154",29.511035632911486,0.15625
118,118,118,安徽滁州,26,0.19230769230769232,"118.33300020100137,32.25499895207538",26.064772304171857,0.3698224852071006
119,119,119,安徽芜湖,49,-0.1020408163265306,"118.4329999010002,31.352200342223206",31.13456238488501,0.10412328196584754
120,120,120,安徽蚌埠,27,-0.14814814814814814,"117.3889999698603,32.91550034329894",26.366694928034633,0.2194787379972565
121,121,121,安徽铜陵,30,0.16666666666666666,"117.81199989631436,30.945200271619964",27.209579053297247,0.2777777777777778
122,122,122,安徽阜阳,14,0.21428571428571427,"115.81399999850017,32.88979927209583",21.112458636922067,0.4591836734693877
123,123,123,安徽马鞍山,28,-0.21428571428571427,"118.50700044870797,31.67059949084345",26.65763608140163,0.4591836734693877
124,124,124,安徽黄山,30,-0.13333333333333333,"118.14099997193591,30.27299988839644",27.209579053297247,0.17777777777777778
125,125,125,山东,87,0.2298850574712644,"117.02100040617769,36.66869899078256",35.72726494923667,0.5284713964856653
126,126,126,山东东营,63,0.15873015873015872,"118.58200005969489,37.44869929916904",33.14507781113226,0.2519526329050138
127,127,127,山东临沂,114,0.11403508771929825,"118.35699973710028,35.10480043821297",37.889587587155965,0.1300400123114805
128,128,128,山东威海,84,0.15476190476190474,"122.12100003530662,37.510599222737184",35.44653439074651,0.23951247165532874
129,129,129,山东德州,62,0.08064516129032258,"116.35900048771923,37.43549919455541",33.01707508036073,0.06503642039542143
130,130,130,山东日照,45,0.4888888888888889,"119.52699996496564,35.41649928301093",30.45329991816256,2.3901234567901235
131,131,131,山东枣庄,47,0.4680851063829787,"117.32400031058648,34.81009923550394",30.801180813680467,2.1910366681756446
132,132,132,山东泰安,89,0.30337078651685395,"117.08799993004307,36.199899950439544",35.90909095785712,0.9203383411185457
133,133,133,山东济南,379,-0.12928759894459102,"117.12000030220425,36.65020001165898",47.50028964065941,0.16715283240857412
134,134,134,山东济宁,94,0.1595744680851064,"116.5870004513892,35.41449925219722",36.34635825816003,0.2546401086464464
135,135,135,山东淄博,129,-0.12403100775193796,"118.05499969800289,36.81300074554309",38.878499234893376,0.15383690883961293
136,136,136,山东滨州,52,-0.19230769230769232,"117.97100056418518,37.38189910796855",31.609949748651424,0.3698224852071006
137,137,137,山东潍坊,72,0.06944444444444445,"119.1619997966021,36.70629958033153",34.21332895212844,0.048225308641975315
138,138,138,山东烟台,148,-0.14864864864864866,"121.44800010578241,37.46369927545523",39.97769819011292,0.22096420745069398
139,139,139,山东聊城,46,0.2608695652173913,"115.98500023309673,36.45709949440061",30.62913117191276,0.6805293005671077
140,140,140,山东莱芜,16,0.1875,"117.67811531442885,36.22786268263079",22.18070977791825,0.3515625
141,141,141,山东菏泽,55,0.10909090909090907,"115.48099960889037,35.23360056461363",32.05866548185977,0.11900826446280988
142,142,142,山东青岛,457,-0.07658643326039387,"120.38300033989066,36.06609912031365",48.99746712715365,0.058654817595487636
143,143,143,山西,40,0.45,"112.56300040285743,37.87349978049548",29.511035632911486,2.0250000000000004
144,144,144,山西临汾,54,0.2222222222222222,"111.51899981650591,36.087900367307746",31.9118723725142,0.49382716049382713
145,145,145,山西吕梁,30,0.3333333333333333,"111.14400035425703,37.518399149416695",27.209579053297247,1.1111111111111112
146,146,146,山西大同,64,0.109375,"113.30000018680191,40.07629901082284",33.27106466687737,0.11962890625
147,147,147,山西太原,188,-0.14361702127659576,"112.54999987354881,37.87070105018573",41.8915357026396,0.20625848800362157
148,148,148,山西忻州,23,0.3478260869565217,"112.73400000222098,38.41670082735863",25.0839537274332,1.2098298676748578
149,149,149,山西晋中,206,0.7087378640776699,"112.75300059635589,37.687099004910614",42.62300935031665,5.023093599773777
150,150,150,山西晋城,31,0.6451612903225806,"112.85199986502738,35.49060043366363",27.47189763588117,4.1623309053069715
151,151,151,山西朔州,21,0.42857142857142855,"112.43299965369393,39.33080089183508",24.356179501787388,1.8367346938775508
152,152,152,山西运城,42,0.30952380952380953,"111.00700000022304,35.026399184294",29.90135694626695,0.9580498866213152
153,153,153,山西长治,47,0.3191489361702128,"113.11600011790391,36.19549903210429",30.801180813680467,1.0185604345857855
154,154,154,山西阳泉,27,0.5185185185185185,"113.58099969380189,37.85669981105221",26.366694928034633,2.688614540466392
155,155,155,巴基斯坦,1,-1.0,"121.1957695796826,40.903490460854364",0.0,10.0
156,156,156,巴西,1,1.0,"106.1436202928484,24.946919878284678",0.0,10.0
157,157,157,广东,109,-0.11009174311926606,"113.265999804043,23.131700866678532",37.53078305783315,0.12120191903038466
158,158,158,广东东莞,304,-0.16776315789473684,"113.7519996985186,23.021000531525335",45.73622161124978,0.281444771468144
159,159,159,广东中山,96,-0.40625,"113.39300011818777,22.5160005219801",36.51478553174269,1.650390625
160,160,160,广东云浮,19,0.631578947368421,"112.04500010984796,22.91499980764361",23.55551183333152,3.9889196675900274
161,161,161,广东佛山,205,-0.05853658536585366,"113.122000143886,23.021899841569176",42.584079833107275,0.03426531826293873
162,162,162,广东广州,892,-0.11995515695067265,"113.2649998160175,23.129100899836732",54.34772906064008,0.14389239679060506
163,163,163,广东惠州,78,-0.0641025641025641,"114.41699962525166,23.110700085310143",34.853670613516734,0.04109138724523339
164,164,164,广东揭阳,24,-0.04166666666666666,"116.37200000914773,23.549699807815525",25.42443064278357,0.017361111111111105
165,165,165,广东梅州,21,0.14285714285714285,"116.12300003791734,24.288299364013245",24.356179501787388,0.2040816326530612
166,166,166,广东汕头,83,-0.024096385542168683,"116.68199979030952,23.353300378747843",35.35072486237278,0.005806357961968359
167,167,167,广东汕尾,22,0.6363636363636364,"115.36639193702948,22.772996616588546",24.728339626866532,4.049586776859504
168,168,168,广东江门,84,0.05952380952380953,"113.08199999623383,22.57880085212426",35.44653439074651,0.03543083900226758
169,169,169,广东河源,7,0.7142857142857143,"114.70099966866097,23.743500828942985",15.567281192442506,5.1020408163265305
170,170,170,广东深圳,714,-0.2689075630252101,"114.05800015327463,22.542800115249015",52.567063698716666,0.7231127745215733
171,171,171,广东清远,37,0.40540540540540543,"113.05600025532785,23.681999638639315",28.8873433011538,1.6435354273192113
172,172,172,广东湛江,42,0.2619047619047619,"110.35900018733592,21.270899182281774",29.90135694626695,0.6859410430839002
173,173,173,广东潮州,21,0.09523809523809523,"116.62299976363066,23.656400397968024",24.356179501787388,0.09070294784580497
174,174,174,广东珠海,86,-0.26744186046511625,"113.57599970605733,22.270900160339536",35.63477837002806,0.7152514872904271
175,175,175,广东肇庆,39,0.10256410256410256,"112.46499995940113,23.046799841103738",29.30849316903717,0.10519395134779749
176,176,176,广东茂名,45,0.24444444444444444,"110.92499965874819,21.66330047520327",30.45329991816256,0.5975308641975309
177,177,177,广东阳江,37,0.5135135135135135,"111.98199991373644,21.858199773107902",28.8873433011538,2.636961285609934
178,178,178,广东韶关,97,0.4948453608247423,"113.265999804043,23.131700866678532",36.59768782802706,2.448719311297694
179,179,179,广西,73,-0.2054794520547945,"108.32800011848128,22.81529965342563",34.32367552918713,0.42221805216738595
180,180,180,广西北海,35,0.6285714285714286,"109.1200000349889,21.48100049936838",28.442784491915308,3.9510204081632647
181,181,181,广西南宁,322,-0.19254658385093168,"108.36699983920386,22.816299646108714",46.196412364355275,0.3707418695266387
182,182,182,广西崇左,17,-0.1176470588235294,"108.32800011848128,22.81529965342563",22.665706752449733,0.13840830449826985
183,183,183,广西来宾,17,0.35294117647058826,"108.32800011848128,22.81529965342563",22.665706752449733,1.2456747404844293
184,184,184,广西柳州,63,0.1111111111111111,"109.4279998991109,24.325700833850448",33.14507781113226,0.12345679012345678
185,185,185,广西桂林,54,0.35185185185185186,"110.19699983251456,25.237000753283272",31.9118723725142,1.237997256515775
186,186,186,广西梧州,29,0.3103448275862069,"111.27899982439271,23.476900275262448",26.938366639891797,0.9631391200951249
187,187,187,广西河池,43,0.372093023255814,"108.32800011848128,22.81529965342563",30.089600925548503,1.3845321795565173
188,188,188,广西玉林,30,0.0,"110.18200011555379,22.6536992710651",27.209579053297247,0.0
189,189,189,广西百色,45,0.17777777777777778,"108.32800011848128,22.81529965342563",30.45329991816256,0.3160493827160494
190,190,190,广西贵港,25,-0.16,"108.32800011848128,22.81529965342563",25.751006598945605,0.256
